currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,20.969620
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,True
attentionDiameter,0.6
attentionColorStart,#E0CA3C
attentionColorCorrect,#A81A1A
attentionColorWrong,#000
playerMachine,celso.local
gameDate,190715
gameTime,144234
gameRandom,127
playerAlias,a
limitPlays,12
totalCorrect,0
successRate,0.0
gameMode,readTree
status,INTERRUPTED BY USER
playsToRelax,0
scoreboard,False
finalScoreboard,long
animationType,short
showHistory,False
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,120
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,1,n,2,false,2.560048,0.000000,2.564706
2,2,n,0,false,1.088453,0.000000,8.035314
3,0,n,1,false,0.908556,0.000000,12.978400
