currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,242.439600
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,True
attentionDiameter,0.6
attentionColorStart,#E0CA3C
attentionColorCorrect,#A81A1A
attentionColorWrong,#000
playerMachine,celso.local
gameDate,190626
gameTime,143651
gameRandom,619
playerAlias,a
limitPlays,12
totalCorrect,4
successRate,0.4
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,long
animationType,short
showHistory,False
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,012012012012
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,0,n,2,false,5.655291,0.000000,5.664520
2,1,n,2,false,2.449821,0.000000,12.611020
3,2,n,2,TRUE,2.446793,0.000000,19.486290
4,0,n,2,false,9.623497,0.000000,33.808040
5,1,n,2,false,13.133140,0.000000,51.442310
6,2,n,2,TRUE,52.291490,0.000000,108.204200
7,0,n,2,false,16.875000,0.000000,129.796900
8,1,n,2,false,23.182560,0.000000,157.466300
9,2,n,2,TRUE,12.293470,0.000000,174.176900
10,0,n,2,false,19.245610,0.000000,198.172100
11,1,n,2,false,8.074036,0.000000,210.731700
12,2,n,2,TRUE,22.831600,0.000000,238.029700
